Locations,Total Cases,Rate,collect_time
Deaths,1613.0,,2020-05-12
- Los Angeles County (excl. LB and Pas),1503.0,,2020-05-12
- Long Beach,45.0,,2020-05-12
- Pasadena,65.0,,2020-05-12
Deaths,1659,,2020-05-13
- Los Angeles County (excl. LB and Pas),1545,,2020-05-13
- Long Beach,48,,2020-05-13
- Pasadena,66,,2020-05-13
Deaths,1709,,2020-05-14
- Los Angeles County (excl. LB and Pas),1591,,2020-05-14
- Long Beach,49,,2020-05-14
- Pasadena,69,,2020-05-14
Deaths,1755,,2020-05-15
- Los Angeles County (excl. LB and Pas),1632,,2020-05-15
- Long Beach,54,,2020-05-15
- Pasadena,69,,2020-05-15
Deaths,1793,,2020-05-16
- Los Angeles County (excl. LB and Pas),1673,,2020-05-16
- Long Beach,51,,2020-05-16
- Pasadena,69,,2020-05-16
Deaths,1821,,2020-05-17
- Los Angeles County (excl. LB and Pas),1701,,2020-05-17
- Long Beach,51,,2020-05-17
- Pasadena,69,,2020-05-17
Deaths,1839,,2020-05-18
- Los Angeles County (excl. LB and Pas),1719,,2020-05-18
- Long Beach,51,,2020-05-18
- Pasadena,69,,2020-05-18
Deaths,1913,,2020-05-19
- Los Angeles County (excl. LB and Pas),1790,,2020-05-19
- Long Beach,52,,2020-05-19
- Pasadena,71,,2020-05-19
Deaths,1970,,2020-05-20
- Los Angeles County (excl. LB and Pas),1834,,2020-05-20
- Long Beach,62,,2020-05-20
- Pasadena,74,,2020-05-20
Deaths,2016,,2020-05-21
- Los Angeles County (excl. LB and Pas),1874,,2020-05-21
- Long Beach,65,,2020-05-21
- Pasadena,77,,2020-05-21
Deaths,2049,,2020-05-22
- Los Angeles County (excl. LB and Pas),1902,,2020-05-22
- Long Beach,68,,2020-05-22
- Pasadena,79,,2020-05-22
Deaths,2090,,2020-05-23
- Los Angeles County (excl. LB and Pas),1941,,2020-05-23
- Long Beach,70,,2020-05-23
- Pasadena,79,,2020-05-23
Deaths,2104,,2020-05-24
- Los Angeles County (excl. LB and Pas),1953,,2020-05-24
- Long Beach,71,,2020-05-24
- Pasadena,80,,2020-05-24
Deaths,2116,,2020-05-25
- Los Angeles County (excl. LB and Pas),1961,,2020-05-25
- Long Beach,73,,2020-05-25
- Pasadena,82,,2020-05-25
Deaths,2143,,2020-05-26
- Los Angeles County (excl. LB and Pas),1988,,2020-05-26
- Long Beach,73,,2020-05-26
- Pasadena,82,,2020-05-26
Deaths,2195,,2020-05-27
- Los Angeles County (excl. LB and Pas),2038,,2020-05-27
- Long Beach,75,,2020-05-27
- Pasadena,82,,2020-05-27
Deaths,2241,,2020-05-28
- Los Angeles County (excl. LB and Pas),2078,,2020-05-28
- Long Beach,81,,2020-05-28
- Pasadena,82,,2020-05-28
Deaths,2290,,2020-05-29
- Los Angeles County (excl. LB and Pas),2127,,2020-05-29
- Long Beach,81,,2020-05-29
- Pasadena,82,,2020-05-29
Deaths,2338,,2020-05-30
- Los Angeles County (excl. LB and Pas),2171,,2020-05-30
- Long Beach,85,,2020-05-30
- Pasadena,82,,2020-05-30
